smiles,CDK2_9606,GSK3B_10090,GSK3A_9606,GSK3B_10116,GSK3B_9606,ABL1_10090,LCK_9606,ZAP70_9606,ABL1_9606,LCK_10090
CC1=C(C(=O)NC2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3)N=C2)C=C(NC(=O)C2=CC(C(F)(F)F)=CC=C2)C=C1,,,,,,,1.0,,1.0,
CC1=CC(NC2=C(C)N=C(C#N)C(NC(C)C3=NC=C(F)C=N3)=N2)=NN1,1.0,,,,,,,,,
COC1=C(OC)C=C(C2=C(N=NC3=CC=NC=C3)C(=O)NN2)C=C1,,,,,1.0,,,,,
COC1=CC=CC(C2=C(N=NC3=CC(Cl)=CC=C3)C(=O)NN2)=C1,,,,,1.0,,,,,
O=C(NC1=CC(F)=C(OC2=C3NC=NC3=NC=C2)C=C1)C1=CC=CN(C2=CC=C(F)C=C2)C1=O,0.0,,,,0.0,,,,0.0,
NC1=NC=CC(C2=CNC3=C(Br)C=CC=C23)=N1,,,,,0.0,,,,,
CC(=O)NC(CC1=CC=C(OP(=O)(O)O)C=C1)C(=O)NC(CO)C1=NC(CC2=CC=C(Br)C=C2)=NO1,,,,,,,,0.0,,
O=C(NC1=NN=C(SCC2=CC=CC=C2)S1)C1=CC=C(F)C=C1,,,,,,,,,1.0,
NC1=C2C(C3=CC=C(NC(=O)NC4=C(F)C=CC(C(F)(F)F)=C4)C=C3)=COC2=NC=N1,0.0,,0.0,,0.0,,0.0,0.0,0.0,
CN1CCN(C2=CC=C(N=CC3=C(O)NC(=O)C4=C3C=C(C(=O)N(C)C)C=C4)C=C2)CC1,0.0,,,,,,,,,
CN1CCN(C)CCN2C=C(C3=C(C(=O)NC3=O)C3=CN(CCN(C)CC1)C1=CC=CC=C31)C1=CC=CC=C12,,,,,1.0,,,,,
O=C(NC1=CC(C(F)(F)F)=C(Cl)C=C1)NC1=CC=C(OCCN2CCOCC2)C2=CC=CC=C12,,,,,,0.0,,,,
O=C(NC1=CC=C(OC(F)(F)F)C=C1)C1=CN=C(N2CC(O)C(CO)C2)C(C2=CN=CS2)=C1,,,,,,,,,1.0,
COC1=CC2=C(C=C1)C1=C(N2)C(C)=NC=C1,,,0.0,,0.0,,0.0,,,
